id,condition,level,question_kr,question_en
1,사업/회사,4,회사에서 어떤 업무를 담당하고 계신가요?,What kind of work do you do at your company?
2,교사/교육자,5,어떤 과목을 가르치고 계신가요?,What subject do you teach?
3,일 경험 없음,4,가장 최근에 했던 학교 과제 중 기억에 남는 것은 무엇인가요?,What is the most memorable school assignment you’ve done recently?
4,사업/회사,4,회사에서 일하면서 가장 즐거운 순간은 언제였나요?,What was the most enjoyable moment while working at your company?
5,재택근무/재택사업,4,재택근무의 장점은 무엇이라고 생각하시나요?,What do you think is the biggest advantage of working from home?
6,교사/교육자,4,수업을 준비할 때 주로 어떤 방식으로 준비하시나요?,How do you usually prepare for your classes?
7,일 경험 없음,5,팀 프로젝트에서 리더 역할을 맡았던 경험에 대해 이야기해 주세요.,Tell me about a time you took a leadership role in a team project.
8,사업/회사,5,회사에서 목표를 달성하기 위해 어떤 전략을 세웠는지 설명해 주세요.,Describe a strategy you developed to achieve a goal at work.
9,재택근무/재택사업,5,재택으로 일하면서 집중력을 유지하는 본인만의 방법이 있나요?,Do you have your own way to stay focused while working remotely?
10,교사/교육자,5,가장 어려웠던 학생을 가르친 경험에 대해 말씀해 주세요.,Tell me about a difficult student you had to teach.
11,일 경험 없음,6,학업 외 시간에는 보통 무엇을 하시나요? 특별한 활동이 있나요? 그 활동을 통해 배운 점이 있다면?,What do you usually do outside of school? Do you have any special activities? What have you learned from them?
12,사업/회사,6,팀 프로젝트에서 발생했던 갈등 상황을 설명해 주세요. 어떻게 해결하셨나요? 그 경험에서 얻은 교훈은 무엇인가요?,Describe a conflict that occurred during a team project. How did you resolve it? What lesson did you learn from that experience?
13,교사/교육자,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
14,교사/교육자,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
15,재택근무/재택사업,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
16,일 경험 없음,4,회사에 처음 출근했던 날을 기억하시나요? 어떤 기분이었나요?,Do you remember your first day at work? How did you feel?
17,일 경험 없음,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
18,재택근무/재택사업,4,가장 좋아하는 수업 주제는 무엇인가요?,What is your favorite topic to teach?
19,일 경험 없음,5,업무 중 예상치 못한 문제를 겪은 경험이 있나요? 어떻게 해결하셨나요?,Have you ever faced an unexpected issue at work? How did you handle it?
20,사업/회사,4,회사에 처음 출근했던 날을 기억하시나요? 어떤 기분이었나요?,Do you remember your first day at work? How did you feel?
21,일 경험 없음,5,일과 학업을 병행하면서 느낀 점이 있다면 무엇인가요?,What have you learned from juggling school and other responsibilities?
22,재택근무/재택사업,6,수업 도중 예상치 못한 상황이 발생한 적이 있나요? 어떻게 대처하셨나요?,Have you ever faced an unexpected situation during class? How did you respond?
23,교사/교육자,6,회사의 성장에 본인이 기여한 경험이 있다면 말씀해 주세요. 어떤 방식으로 기여하셨나요?,Tell me about a time you contributed to your company's growth. How did you contribute?
24,교사/교육자,6,재택근무 환경을 개선하기 위해 어떤 노력을 하셨나요? 그 결과는 어땠나요?,What efforts did you make to improve your remote work environment? What was the result?
25,교사/교육자,6,수업 도중 예상치 못한 상황이 발생한 적이 있나요? 어떻게 대처하셨나요?,Have you ever faced an unexpected situation during class? How did you respond?
26,사업/회사,4,회사에 처음 출근했던 날을 기억하시나요? 어떤 기분이었나요?,Do you remember your first day at work? How did you feel?
27,재택근무/재택사업,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
28,일 경험 없음,5,재택근무 중 가장 어려웠던 점은 무엇이었나요?,What was the most difficult aspect of working from home?
29,교사/교육자,4,회사에 처음 출근했던 날을 기억하시나요? 어떤 기분이었나요?,Do you remember your first day at work? How did you feel?
30,일 경험 없음,5,업무 중 예상치 못한 문제를 겪은 경험이 있나요? 어떻게 해결하셨나요?,Have you ever faced an unexpected issue at work? How did you handle it?
31,재택근무/재택사업,5,일과 학업을 병행하면서 느낀 점이 있다면 무엇인가요?,What have you learned from juggling school and other responsibilities?
32,교사/교육자,6,회사의 성장에 본인이 기여한 경험이 있다면 말씀해 주세요. 어떤 방식으로 기여하셨나요?,Tell me about a time you contributed to your company's growth. How did you contribute?
33,재택근무/재택사업,6,회사의 성장에 본인이 기여한 경험이 있다면 말씀해 주세요. 어떤 방식으로 기여하셨나요?,Tell me about a time you contributed to your company's growth. How did you contribute?
34,일 경험 없음,6,수업 도중 예상치 못한 상황이 발생한 적이 있나요? 어떻게 대처하셨나요?,Have you ever faced an unexpected situation during class? How did you respond?
35,재택근무/재택사업,6,재택근무 환경을 개선하기 위해 어떤 노력을 하셨나요? 그 결과는 어땠나요?,What efforts did you make to improve your remote work environment? What was the result?
36,일 경험 없음,5,학생들의 참여를 유도하기 위해 어떤 방법을 사용하시나요?,What strategies do you use to encourage student participation?
37,일 경험 없음,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
38,일 경험 없음,5,학생들의 참여를 유도하기 위해 어떤 방법을 사용하시나요?,What strategies do you use to encourage student participation?
39,재택근무/재택사업,5,일과 학업을 병행하면서 느낀 점이 있다면 무엇인가요?,What have you learned from juggling school and other responsibilities?
40,일 경험 없음,4,가장 좋아하는 수업 주제는 무엇인가요?,What is your favorite topic to teach?
41,사업/회사,5,재택근무 중 가장 어려웠던 점은 무엇이었나요?,What was the most difficult aspect of working from home?
42,재택근무/재택사업,6,회사의 성장에 본인이 기여한 경험이 있다면 말씀해 주세요. 어떤 방식으로 기여하셨나요?,Tell me about a time you contributed to your company's growth. How did you contribute?
43,일 경험 없음,5,업무 중 예상치 못한 문제를 겪은 경험이 있나요? 어떻게 해결하셨나요?,Have you ever faced an unexpected issue at work? How did you handle it?
44,사업/회사,5,일과 학업을 병행하면서 느낀 점이 있다면 무엇인가요?,What have you learned from juggling school and other responsibilities?
45,재택근무/재택사업,4,학교에서 가장 좋아했던 과목은 무엇이었나요?,What was your favorite subject in school?
46,일 경험 없음,5,학생들의 참여를 유도하기 위해 어떤 방법을 사용하시나요?,What strategies do you use to encourage student participation?
47,재택근무/재택사업,4,가장 좋아하는 수업 주제는 무엇인가요?,What is your favorite topic to teach?
48,사업/회사,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
49,교사/교육자,5,학생들의 참여를 유도하기 위해 어떤 방법을 사용하시나요?,What strategies do you use to encourage student participation?
50,교사/교육자,6,회사의 성장에 본인이 기여한 경험이 있다면 말씀해 주세요. 어떤 방식으로 기여하셨나요?,Tell me about a time you contributed to your company's growth. How did you contribute?
51,일 경험 없음,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
52,일 경험 없음,4,학교에서 가장 좋아했던 과목은 무엇이었나요?,What was your favorite subject in school?
53,재택근무/재택사업,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
54,재택근무/재택사업,4,가장 좋아하는 수업 주제는 무엇인가요?,What is your favorite topic to teach?
55,사업/회사,6,수업 도중 예상치 못한 상황이 발생한 적이 있나요? 어떻게 대처하셨나요?,Have you ever faced an unexpected situation during class? How did you respond?
56,사업/회사,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
57,사업/회사,5,재택근무 중 가장 어려웠던 점은 무엇이었나요?,What was the most difficult aspect of working from home?
58,사업/회사,5,업무 중 예상치 못한 문제를 겪은 경험이 있나요? 어떻게 해결하셨나요?,Have you ever faced an unexpected issue at work? How did you handle it?
59,일 경험 없음,4,회사에 처음 출근했던 날을 기억하시나요? 어떤 기분이었나요?,Do you remember your first day at work? How did you feel?
60,교사/교육자,6,학창 시절의 특별한 프로젝트나 활동에 대해 말해 주세요. 그 경험이 당신에게 어떤 영향을 미쳤나요?,Tell me about a special project or activity during your school days. How did it impact you?
61,사업/회사,5,업무 중 예상치 못한 문제를 겪은 경험이 있나요? 어떻게 해결하셨나요?,Have you ever faced an unexpected issue at work? How did you handle it?
62,재택근무/재택사업,4,하루 일과를 간단히 설명해 주세요.,Can you briefly describe your daily routine?
